"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z061","2019-07-12 00:00:00","174.000","0.000","0.200","26.000","0.970","994.800","-99.000","0.000","-99.000","-99.000","-99.000","34.900","","25.300",""
"C0I530","2019-07-12 00:00:00","3014.000","227.000","6.000","9.000","1.000","704.500","-99.000","4.500","-99.000","-99.000","-99.000","11.300","","8.300",""
"C0A880","2019-07-12 00:00:00","6.000","0.000","0.000","24.200","0.970","1007.200","-99.000","34.000","-99.000","-99.000","-99.000","33.400","","24.200",""
"C0S950","2019-07-12 00:00:00","415.000","238.000","1.400","25.000","0.920","964.200","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","23.800",""
"C0X190","2019-07-12 00:00:00","10.000","130.000","2.100","26.700","0.940","1010.500","-99.000","28.000","-99.000","-99.000","-99.000","30.500","","25.200",""
"C0A560","2019-07-12 00:00:00","405.000","0.000","0.000","22.700","1.000","964.100","-99.000","2.500","-99.000","-99.000","-99.000","32.600","","22.700",""
"C0C630","2019-07-12 00:00:00","209.000","178.000","1.300","26.700","0.880","987.000","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","25.700",""
"C0D550","2019-07-12 00:00:00","1956.000","167.000","0.300","16.500","0.910","812.400","-99.000","2.000","-99.000","-99.000","-99.000","21.900","","16.500",""
"C0T9E0","2019-07-12 00:00:00","415.000","0.000","0.000","24.100","0.940","965.900","-99.000","2.000","-99.000","-99.000","-99.000","32.500","","23.900",""
"C0U960","2019-07-12 00:00:00","1885.000","0.000","0.000","15.300","0.960","815.300","-99.000","19.500","-99.000","-99.000","-99.000","22.200","","15.300",""
"C0R240","2019-07-12 00:00:00","87.000","118.000","1.200","24.400","0.940","1002.400","-99.000","105.500","-99.000","-99.000","-99.000","28.500","","23.800",""
"C0AD30","2019-07-12 00:00:00","20.000","0.000","0.200","29.000","0.760","1006.400","-99.000","10.500","-99.000","-99.000","-99.000","34.400","","27.800",""
"C0D430","2019-07-12 00:00:00","87.000","0.000","0.000","25.100","0.960","999.500","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","24.500",""
"C0X210","2019-07-12 00:00:00","38.000","157.000","2.600","26.900","0.870","1005.800","-99.000","4.000","-99.000","-99.000","-99.000","32.100","","25.200",""
"C0AH10","2019-07-12 00:00:00","30.000","155.000","0.800","28.500","0.820","1005.800","-99.000","2.500","-99.000","-99.000","-99.000","33.400","","28.500",""
"C0O960","2019-07-12 00:00:00","112.000","131.000","2.000","25.200","0.920","999.300","-99.000","21.500","-99.000","-99.000","-99.000","29.900","","24.000",""
"C0R360","2019-07-12 00:00:00","20.000","0.000","0.200","26.200","-99.000","1010.300","-99.000","52.500","-99.000","-99.000","-99.000","30.400","","24.200",""
